                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6196,                 1.8309,                 1.5944,                0.37882,                0.28757,                0.26216,                0.14143,                 1.9819,                 2.1774,                 2.0593,              0.0012423,              0.0012423,              0.0012423
                     35,                 1.6378,                 1.8661,                 1.6132,                 0.3612,                0.29096,                0.25639,                0.12943,                 2.0833,                 2.3535,                 2.0514,              0.0012366,              0.0012366,              0.0012366
                     36,                 1.6148,                 1.8181,                 1.5842,                0.41955,                 0.2711,                0.26638,                0.13999,                 2.0002,                 2.2888,                  2.027,              0.0012309,              0.0012309,              0.0012309
                     37,                 1.6102,                 1.8314,                 1.5818,                0.39941,                0.32025,                 0.2814,                0.14174,                 1.9651,                  2.184,                  2.002,              0.0012253,              0.0012253,              0.0012253
                     38,                 1.6046,                 1.8017,                  1.588,                0.35354,                0.29488,                0.26118,                0.13713,                  1.979,                 2.1507,                 2.0356,              0.0012196,              0.0012196,              0.0012196
                     39,                 1.6085,                 1.7964,                 1.5929,                 0.3757,                0.34225,                0.29908,                0.15527,                 1.9352,                  2.088,                 2.0115,               0.001214,               0.001214,               0.001214
                     40,                 1.6187,                  1.754,                 1.5727,                0.39127,                0.30447,                0.27515,                0.13699,                 2.0398,                 2.2168,                 2.0282,              0.0012083,              0.0012083,              0.0012083
                     41,                 1.5832,                 1.7143,                 1.5479,                0.43888,                0.30131,                0.28303,                0.13936,                 2.0555,                 2.1993,                 2.0433,              0.0012026,              0.0012026,              0.0012026
                     42,                 1.5628,                 1.7531,                 1.5603,                0.42453,                0.32097,                0.28626,                0.15324,                 1.9653,                 2.0796,                 2.0022,               0.001197,               0.001197,               0.001197
                     43,                 1.5467,                 1.7103,                 1.5454,                0.46142,                 0.3098,                0.31356,                0.16188,                 1.9649,                  2.049,                 1.9954,              0.0011913,              0.0011913,              0.0011913
                     44,                 1.5666,                 1.7044,                 1.5515,                0.37767,                0.33658,                 0.2977,                0.14506,                 1.9951,                  2.112,                 2.0105,              0.0011857,              0.0011857,              0.0011857
                     45,                 1.5529,                  1.715,                 1.5508,                0.49476,                0.29476,                0.29323,                0.15321,                   2.01,                 2.1185,                 2.0335,                0.00118,                0.00118,                0.00118
                     46,                 1.6123,                 1.7244,                 1.5666,                0.44689,                0.31048,                0.29329,                0.15363,                 1.9542,                 2.0623,                 1.9871,              0.0011744,              0.0011744,              0.0011744
                     47,                 1.5446,                 1.6688,                 1.5224,                 0.4169,                0.30852,                0.28422,                 0.1511,                 1.9755,                 2.0801,                 2.0207,              0.0011687,              0.0011687,              0.0011687
                     48,                 1.5355,                 1.6905,                 1.5215,                0.39303,                0.28191,                0.25441,                0.13316,                 2.0638,                 2.1827,                 2.1003,               0.001163,               0.001163,               0.001163
                     49,                  1.556,                 1.6671,                 1.5489,                0.38427,                0.29813,                0.27184,                0.13131,                  2.073,                 2.5623,                 2.0466,              0.0011574,              0.0011574,              0.0011574
                     50,                 1.5384,                 1.6752,                  1.525,                0.36944,                0.30842,                0.27708,                 0.1239,                 2.0658,                 2.1901,                  2.024,              0.0011517,              0.0011517,              0.0011517
                     51,                 1.5208,                 1.6555,                 1.5127,                0.45085,                0.32264,                0.29978,                 0.1494,                 1.9796,                 2.0541,                 1.9446,              0.0011461,              0.0011461,              0.0011461
                     52,                 1.5107,                 1.6149,                 1.5022,                 0.4225,                0.32133,                 0.2907,                0.14884,                 1.9831,                 2.1596,                 2.0446,              0.0011404,              0.0011404,              0.0011404
                     53,                 1.5354,                 1.6388,                  1.526,                0.39335,                 0.3431,                 0.3066,                0.15815,                 1.9421,                 2.0558,                  1.948,              0.0011347,              0.0011347,              0.0011347
                     54,                 1.5051,                 1.6556,                   1.51,                0.45988,                0.32853,                0.31097,                0.15875,                 1.9598,                 2.0666,                  1.979,              0.0011291,              0.0011291,              0.0011291
